universe,quality,pullback,trigger,hold,exit,n,wr,exp,avg_w,avg_l,score
mid,none,dn8,immed,20,time,18250,0.5007123287671232,0.025569262190135434,0.17091816199974047,-0.12019437328617832,3.454217108593347
mid,none,dn5,green,20,trail5,15500,0.5589677419354838,0.027725593800759923,0.06812156108451806,-0.023472571873096197,3.4518085911407987
mid,none,dn10,green,2,trail5,7286,0.6721108976118584,0.0400709550570797,0.069923736047912,-0.02112162280483145,3.4203793599413572
mid,none,dn8,green,20,trail5,9771,0.5778323610684679,0.03450835757117755,0.0764958558189626,-0.02296107639415442,3.4110948533608494
mid,none,dn10,green,20,trail5,7442,0.5912389142703575,0.039528984072997125,0.08266563758117351,-0.022864597595634046,3.410047948354619
small,none,dn10,green,20,target10,8303,0.7556304950018066,0.03731879127173005,0.09391018251252743,-0.13767105034717725,3.400518076264921
mid,none,dn5,green,10,trail5,15472,0.5742631851085832,0.027321601871660366,0.0649139440281638,-0.02338554251281406,3.398438279403077
mid,none,dn10,green,10,trail5,7434,0.5973903685768093,0.039292015862629405,0.08116309258584,-0.02283610031771749,3.3877830366512796
small,none,dn8,green,2,target15,10098,0.6872648049118637,0.03367748519039777,0.06688018496241815,-0.039288549140768014,3.3842102538630865
small,none,dn8,green,5,target15,10195,0.6406081412457086,0.03349766776402927,0.08917989771534977,-0.06575469135498663,3.3822693175870207
mid,none,dn8,green,2,trail5,9566,0.6686180221618231,0.034560085193791786,0.061939515965453426,-0.020682450836349495,3.3801812832994815
mid,none,dn8,green,10,trail5,9756,0.5857933579335793,0.034127991799999924,0.074485971588719,-0.022948438413444665,3.370905902851518
mid,none,dn5,green,2,trail5,15156,0.6664027447875429,0.027309727306196043,0.05114503123594885,-0.020304309420564923,3.362092531615675
large,none,dn8,green,20,time,4898,0.5890159248672928,0.04799655692922241,0.14490479880446278,-0.09089081406435358,3.3590732499664706
small,above21,dn5,green,20,time,2946,0.5095044127630686,0.06166821463862326,0.25641125725747593,-0.14062196319590814,3.3471698165051764
mid,none,dn10,green,5,trail5,7345,0.6134785568413887,0.03899758561045706,0.07786595892087227,-0.022693464103079722,3.342209121958558
small,none,dn15,green,5,time,4690,0.5957356076759062,0.04860971691032292,0.13574345986305295,-0.07979306674470223,3.3289671778641994
mid,none,dn10,immed,20,time,13948,0.49483796960137655,0.02817943835220069,0.18723102168570482,-0.12762158750187902,3.3280381973548234
small,none,dn8,green,10,target10,10450,0.7107177033492823,0.032485927974908,0.08447079356601662,-0.09523209939696228,3.3208818326289498
mid,none,dn5,green,5,trail5,15226,0.5993038224090371,0.02687607045167719,0.06019316053159813,-0.022954850213669227,3.3163372082273916
small,none,dn5,green,5,target10,15460,0.669987063389392,0.026623975287550995,0.0677386304438988,-0.05684634970450126,3.3103784510737544
mid,none,dn8,green,5,trail5,9619,0.6070277575631563,0.03373674630956582,0.07030053560725495,-0.022743667899219066,3.3087820248419497
mid,none,dn5,green,2,time,15046,0.6723381629669015,0.026946115235088566,0.05591638990932975,-0.03249877292000752,3.3052680946858404
small,none,dn5,green,2,target10,15262,0.7031843795046521,0.02671034177216619,0.05266100947502252,-0.03476925332431378,3.2997813960134397
small,none,dn5,immed,20,time,30440,0.4936596583442838,0.018857074161908228,0.1699683335786437,-0.1284697859727368,3.290005569394708
mid,none,dn5,volexp,20,time,3815,0.5410222804718218,0.05310987159099128,0.19498448747818123,-0.11412554085398877,3.2803676663554326
small,none,dn10,green,5,target15,8059,0.6436282417173347,0.03639607158345754,0.09522696931452745,-0.06985597108056044,3.2673457088653945
large,none,dn10,green,20,time,3504,0.586472602739726,0.054997559443765436,0.1638764416420414,-0.09941659025772323,3.2555582213924352
mid,none,dn8,green,2,time,9479,0.6733832682772445,0.03341560909328213,0.06671356384684493,-0.03523453470258073,3.253348918216474
small,none,dn10,green,2,target15,7981,0.6834983084826463,0.036163766163155725,0.07186971424981002,-0.04094468467322556,3.230742224806599
small,none,dn15,green,2,time,4706,0.6704207394815129,0.04703529163113821,0.09283366577446588,-0.046126455900904875,3.226634718779954
mid,none,dn10,green,2,time,7208,0.6745283018867925,0.037959574324165475,0.074328127517509,-0.03741293446783633,3.222765624574682
small,above21,dn5,green,10,time,3069,0.5578364288041707,0.05799040893026516,0.18797856642586436,-0.1060034935254945,3.212584912982564
mid,none,dn5,green,10,target15,15114,0.6231970358607913,0.02601428263144728,0.08592076779413405,-0.07306546868503148,3.1981701335493047
mid,none,dn10,green,20,target15,7264,0.6484030837004405,0.03751121589769955,0.11966462957388187,-0.11399331754584728,3.197047283799769
small,none,dn15,green,20,target15,4865,0.692497430626927,0.045696779043682495,0.1368602330257832,-0.15960380682910988,3.187329864763786
mid,none,dn15,green,2,time,3717,0.6736615550174873,0.051918991231086946,0.09682199050944842,-0.04077442195359333,3.165355745368337
small,none,dn10,green,10,target10,8288,0.7200772200772201,0.03473128511468752,0.08758089843080337,-0.10121978913987262,3.161882481919342
small,none,dn8,green,5,target10,10333,0.6815058550275815,0.030696852561679654,0.07545923318655094,-0.0650845769005943,3.1203769631376947
small,none,dn8,green,2,target10,10171,0.7018975518631403,0.03085136352395292,0.060596422954058225,-0.03918490932285506,3.1114024565814398
mid,none,dn10,volexp,10,time,1949,0.5253976398152899,0.07023857581028231,0.23287288000515582,-0.10980199445517773,3.100856128489172
mid,none,dn15,volexp,2,trail5,1110,0.5036036036036036,0.09266643186258683,0.2205220559237927,-0.03704553519769286,3.0873362352518763
mid,none,dn15,volexp,5,trail5,1114,0.49461400359066426,0.0920301336783215,0.22445795704566332,-0.03757507178421019,3.0716565062523826
mid,none,dn15,volexp,10,trail5,1119,0.48882931188561213,0.09167820013018818,0.22664046330076054,-0.03738536272698503,3.0667694031708717
mid,none,dn15,volexp,20,trail5,1119,0.48614834673815904,0.091344090392043,0.2273737372532716,-0.03735178420362374,3.05559294550929
small,none,dn15,green,10,target15,4856,0.667833607907743,0.04377400367903143,0.12322351174811547,-0.11596236003333038,3.0503916897890435
mid,none,dn15,gapup,20,time,748,0.5040106951871658,0.110984666813008,0.35404400652815043,-0.13600555171154374,3.035384985164256
mid,none,dn8,green,20,target10,9599,0.7058026877799771,0.030808757324407163,0.08801623476778365,-0.1064365187658463,3.018472177785404
mid,none,dn10,gapup,20,time,1617,0.5522572665429808,0.0748871971644294,0.23141843299042963,-0.11818240724526424,3.0113593687429683
large,none,dn5,green,20,target15,8830,0.6322763306908268,0.03201134306314054,0.0952100583574814,-0.07665463398900149,3.008044435834459
small,none,dn10,green,5,target10,8182,0.6883402591053532,0.03292998463171436,0.07921584908857483,-0.06929824620006532,2.9786622786659334
small,none,dn8,immed,20,time,20354,0.4740100225999804,0.020852112439155183,0.2037950046400231,-0.14401179788720142,2.974917614571438
large,none,dn15,green,20,time,1667,0.5860827834433113,0.0724487647115612,0.20845937608217296,-0.12013437631610212,2.958004190027684
small,none,dn10,green,2,target10,8051,0.7010309278350515,0.0328921193229343,0.06436318854481744,-0.04090211195596411,2.9513231906425372
large,none,dn5,immed,20,time,16600,0.5410240963855422,0.022729340633622957,0.11608847960320516,-0.08731901572361786,2.9284706871696318
small,none,dn15,green,2,target15,4747,0.6867495260164315,0.04227759901126801,0.08205224376266028,-0.04492168941478364,2.9128621423119196
mid,none,dn5,green,10,target10,15224,0.6568575932737782,0.023589823631049056,0.07338995188376084,-0.07173967149282495,2.910643941577785
mid,none,dn8,green,10,target15,9536,0.6310822147651006,0.029758874342660585,0.09488784330474852,-0.08165276159078036,2.9060268378025373
mid,none,dn15,volexp,5,time,1089,0.5142332415059688,0.08788848276859296,0.2669708789929863,-0.10168834499257959,2.9003199313635677
